,sigUF,mdaPotenciaInstaladakW,mesReferencia,anoReferencia
525,RN,1204067.0,3,2014
526,RN,2439488.0,3,2015
527,RN,3194200.0,3,2016
528,RN,3834199.84,3,2017
529,RN,847620.0,6,2012
530,RN,902251.0,6,2013
531,RN,1415467.0,6,2014
532,RN,2711860.0,6,2015
533,RN,3368799.84,6,2016
534,RN,855754.0,9,2012
535,RN,902251.0,9,2013
536,RN,1603703.0,9,2014
537,RN,2803660.0,9,2015
538,RN,3712399.84,9,2016
539,RO,888626.08,12,2006
540,RO,896881.48,12,2007
541,RO,902441.48,12,2008
542,RO,914148.48,12,2009
543,RO,933159.48,12,2010
544,RO,1007058.0,12,2011
545,RO,1630940.48,12,2012
546,RO,2144928.0,12,2013
547,RO,6283516.56,12,2015
548,RO,8017439.56,12,2016
549,RO,1149179.48,3,2012
550,RO,1712459.0,3,2013
551,RO,6880245.0,3,2016
552,RO,8396091.68,3,2017
553,RO,1289300.48,6,2012
554,RO,1784168.0,6,2013
555,RO,3409201.0,6,2014
556,RO,5767721.0,6,2015
557,RO,7322479.56,6,2016
558,RO,1381485.0,9,2012
559,RO,2005748.0,9,2013
560,RO,5921047.0,9,2015
561,RO,8017439.56,9,2016
562,RR,118030.4,12,2006
563,RR,118102.4,12,2007
564,RR,117278.4,12,2008
565,RR,127410.4,12,2009
566,RR,127410.4,12,2010
567,RR,122610.0,12,2011
568,RR,122610.4,12,2012
569,RR,122610.0,12,2013
570,RR,4745751.0,12,2014
571,RR,264345.4,12,2015
572,RR,263360.4,12,2016
573,RR,122610.4,3,2012
574,RR,122610.0,3,2013
575,RR,122610.0,3,2014
576,RR,124438.0,3,2015
577,RR,263370.0,3,2016
578,RR,263360.4,3,2017
579,RR,122610.4,6,2012
580,RR,122610.0,6,2013
581,RR,122610.0,6,2014
582,RR,263989.0,6,2015
583,RR,263360.4,6,2016
584,RR,159722.0,9,2012
585,RR,122610.0,9,2013
586,RR,4072261.0,9,2014
587,RR,264345.0,9,2015
588,RR,263360.4,9,2016
589,RS,6598474.6,12,2006
590,RS,6640554.6,12,2007
591,RS,6826128.6,12,2008
592,RS,7006976.6,12,2009
593,RS,7150077.6,12,2010
594,RS,8704267.0,12,2011
595,RS,8925936.4,12,2012
596,RS,9132560.0,12,2013
597,RS,8185627.0,12,2014
598,RS,9341073.58,12,2015
599,RS,9403343.43,12,2016
600,RS,8792286.8,3,2012
601,RS,9047087.0,3,2013
602,RS,9197636.0,3,2014
603,RS,8726097.0,3,2015
604,RS,9373986.0,3,2016
605,RS,9527879.28,3,2017
606,RS,8832485.4,6,2012
607,RS,9113983.0,6,2013
608,RS,9199390.0,6,2014
609,RS,9008493.0,6,2015
610,RS,9325557.23,6,2016
611,RS,7690487.0,9,2012
612,RS,9123195.0,9,2013
613,RS,8086836.0,9,2014
614,RS,9128384.0,9,2015
615,RS,9337886.73,9,2016
616,SC,5159682.6,12,2006
617,SC,5538453.6,12,2007
618,SC,5570153.6,12,2008
619,SC,5628259.1,12,2009
620,SC,5884521.1,12,2010
621,SC,6958051.0,12,2011
622,SC,7177788.8,12,2012
623,SC,7459793.0,12,2013
624,SC,4497740.0,12,2014
625,SC,4565119.82,12,2015
626,SC,4588504.92,12,2016
627,SC,7102818.1,3,2012
628,SC,7208126.0,3,2013
629,SC,7462276.0,3,2014
630,SC,4529313.0,3,2015
631,SC,4572104.0,3,2016
632,SC,4627586.76,3,2017
633,SC,7122985.1,6,2012
634,SC,7211578.0,6,2013
635,SC,7469074.0,6,2014
636,SC,4545040.0,6,2015
